,county_name,zip,lat,lng,city,state_name,avg_risk_score_all
9180,McCormick,29848,33.99616,-82.18304,Troy,South Carolina,1.48
9181,Allendale,29849,33.10168,-81.23641,Ulmer,South Carolina,1.82
9182,Aiken,29851,33.51098,-81.81597,Warrenville,South Carolina,1.7
9183,Barnwell,29853,33.39871,-81.43217,Williston,South Carolina,1.46
9184,Aiken,29856,33.48365,-81.51276,Windsor,South Carolina,1.92
9185,Edgefield,29860,33.60667,-81.97776,North Augusta,South Carolina,1.41
9186,McCormick,29899,33.92801,-82.25064,McCormick,South Carolina,1.0
9187,Beaufort,29902,32.37426,-80.69438,Beaufort,South Carolina,3.46
9188,Beaufort,29906,32.44521,-80.75159,Beaufort,South Carolina,4.23
9189,Beaufort,29907,32.45326,-80.60926,Beaufort,South Carolina,4.61
9190,Beaufort,29909,32.34042,-80.85465,Okatie,South Carolina,3.64
9191,Beaufort,29910,32.2204,-80.88277,Bluffton,South Carolina,2.93
9192,Hampton,29911,32.9327,-81.14536,Brunson,South Carolina,1.57
9193,Jasper,29912,32.58262,-80.93102,Coosawhatchie,South Carolina,4.6
9194,Beaufort,29915,32.11464,-80.86892,Daufuskie Island,South Carolina,7.1
9195,Hampton,29916,32.72863,-80.95708,Early Branch,South Carolina,1.73
9196,Hampton,29918,32.74461,-81.24899,Estill,South Carolina,1.83
9197,Beaufort,29920,32.36441,-80.54946,Saint Helena Island,South Carolina,6.57
9198,Hampton,29921,32.68664,-81.18011,Furman,South Carolina,1.93
9199,Hampton,29922,32.59632,-81.27407,Garnett,South Carolina,1.79
9200,Hampton,29923,32.84821,-81.23856,Gifford,South Carolina,1.59
9201,Hampton,29924,32.87737,-81.10749,Hampton,South Carolina,1.58
9202,Beaufort,29926,32.22936,-80.74931,Hilton Head Island,South Carolina,5.79
9203,Jasper,29927,32.24343,-81.04971,Hardeeville,South Carolina,2.2
9204,Beaufort,29928,32.16214,-80.76274,Hilton Head Island,South Carolina,8.42
9205,Colleton,29929,32.93805,-80.9434,Islandton,South Carolina,1.79
9206,Allendale,29932,32.82529,-81.34853,Luray,South Carolina,1.9
9207,Jasper,29934,32.59651,-81.11245,Pineland,South Carolina,2.0
9208,Beaufort,29935,32.38277,-80.6963,Port Royal,South Carolina,3.56
9209,Jasper,29936,32.48475,-80.96766,Ridgeland,South Carolina,2.59
9210,Hampton,29939,32.68127,-81.24538,Scotia,South Carolina,2.42
9211,Beaufort,29940,32.5524,-80.67511,Seabrook,South Carolina,4.71
9212,Beaufort,29941,32.54357,-80.81509,Sheldon,South Carolina,4.72
9213,Jasper,29943,32.4821,-81.14952,Tillman,South Carolina,1.92
9214,Hampton,29944,32.79129,-81.03409,Varnville,South Carolina,1.5
9215,Colleton,29945,32.68694,-80.80912,Yemassee,South Carolina,2.49
9216,DeKalb,30002,33.77309,-84.26093,Avondale Estates,Georgia,1.23
9217,Fulton,30004,34.14352,-84.29926,Alpharetta,Georgia,1.3
9218,Fulton,30005,34.08582,-84.22158,Alpharetta,Georgia,1.29
9219,Cobb,30008,33.8966,-84.58847,Marietta,Georgia,1.58
9220,Fulton,30009,34.07711,-84.3029,Alpharetta,Georgia,1.42
9221,Barrow,30011,34.02281,-83.8364,Auburn,Georgia,1.32
9222,Rockdale,30012,33.71739,-83.99913,Conyers,Georgia,1.4
9223,Rockdale,30013,33.643,-83.97147,Conyers,Georgia,1.45
9224,Newton,30014,33.58109,-83.8191,Covington,Georgia,1.51
9225,Newton,30016,33.51836,-83.93073,Covington,Georgia,1.23
9226,Gwinnett,30017,33.88939,-83.96348,Grayson,Georgia,1.29
9227,Gwinnett,30019,33.97642,-83.88252,Dacula,Georgia,1.33
9228,DeKalb,30021,33.80803,-84.23909,Clarkston,Georgia,1.49
9229,Fulton,30022,34.02745,-84.24643,Alpharetta,Georgia,1.37
9230,Gwinnett,30024,34.06341,-84.09116,Suwanee,Georgia,1.48
9231,Walton,30025,33.65689,-83.69869,Social Circle,Georgia,1.28
9232,Forsyth,30028,34.28928,-84.17985,Cumming,Georgia,1.26
9233,DeKalb,30030,33.7721,-84.29135,Decatur,Georgia,1.5
9234,DeKalb,30032,33.73987,-84.2641,Decatur,Georgia,1.56
9235,DeKalb,30033,33.81342,-84.28355,Decatur,Georgia,1.65
9236,DeKalb,30034,33.69198,-84.24835,Decatur,Georgia,1.35
9237,DeKalb,30035,33.72563,-84.20541,Decatur,Georgia,1.42
9238,DeKalb,30038,33.67078,-84.14209,Lithonia,Georgia,1.27
9239,Gwinnett,30039,33.79871,-84.03414,Snellville,Georgia,1.55
9240,Forsyth,30040,34.21622,-84.17978,Cumming,Georgia,1.24
9241,Forsyth,30041,34.20166,-84.09371,Cumming,Georgia,1.26
9242,Gwinnett,30043,34.00353,-84.00703,Lawrenceville,Georgia,1.55
9243,Gwinnett,30044,33.92207,-84.06924,Lawrenceville,Georgia,1.55
9244,Gwinnett,30045,33.93046,-83.93019,Lawrenceville,Georgia,1.34
9245,Gwinnett,30046,33.9497,-83.99389,Lawrenceville,Georgia,1.45
9246,Gwinnett,30047,33.87104,-84.11304,Lilburn,Georgia,1.59
9247,Walton,30052,33.81654,-83.89538,Loganville,Georgia,1.22
9248,Newton,30054,33.67651,-83.87558,Oxford,Georgia,1.38
9249,Newton,30055,33.49055,-83.74224,Mansfield,Georgia,2.16
9250,Jasper,30056,33.49496,-83.65068,Newborn,Georgia,1.27
9251,DeKalb,30058,33.7377,-84.10779,Lithonia,Georgia,1.24
9252,Cobb,30060,33.9209,-84.543,Marietta,Georgia,1.49
9253,Cobb,30062,33.99977,-84.46899,Marietta,Georgia,1.58
9254,Cobb,30064,33.93809,-84.61691,Marietta,Georgia,1.62
9255,Cobb,30066,34.034,-84.50798,Marietta,Georgia,1.56
9256,Cobb,30067,33.93286,-84.46187,Marietta,Georgia,1.72
9257,Cobb,30068,33.96887,-84.43273,Marietta,Georgia,1.68
9258,Newton,30070,33.5733,-83.89546,Porterdale,Georgia,1.0
9259,Gwinnett,30071,33.93977,-84.20561,Norcross,Georgia,1.48
9260,DeKalb,30072,33.79115,-84.20598,Pine Lake,Georgia,1.7
9261,Fulton,30075,34.05282,-84.38739,Roswell,Georgia,1.54
9262,Fulton,30076,34.02777,-84.31723,Roswell,Georgia,1.56
9263,Gwinnett,30078,33.86118,-84.01795,Snellville,Georgia,1.43
9264,DeKalb,30079,33.79173,-84.25839,Scottdale,Georgia,1.44
9265,Cobb,30080,33.87864,-84.5053,Smyrna,Georgia,1.52
9266,Cobb,30082,33.85517,-84.5373,Smyrna,Georgia,1.65
9267,DeKalb,30083,33.79641,-84.19231,Stone Mountain,Georgia,1.45
9268,DeKalb,30084,33.85457,-84.21657,Tucker,Georgia,1.49
9269,DeKalb,30087,33.81087,-84.13135,Stone Mountain,Georgia,1.43
9270,DeKalb,30088,33.75959,-84.17918,Stone Mountain,Georgia,1.38
9271,Gwinnett,30092,33.97145,-84.23537,Peachtree Corners,Georgia,1.58
9272,Gwinnett,30093,33.90879,-84.17839,Norcross,Georgia,1.53
9273,Rockdale,30094,33.61243,-84.0555,Conyers,Georgia,1.37
9274,Gwinnett,30096,33.97691,-84.14791,Duluth,Georgia,1.64
9275,Fulton,30097,34.0271,-84.14702,Duluth,Georgia,1.6
9276,Cobb,30101,34.04355,-84.71244,Acworth,Georgia,1.42
9277,Cherokee,30102,34.10857,-84.64622,Acworth,Georgia,1.51
9278,Bartow,30103,34.36457,-84.92014,Adairsville,Georgia,1.78
9279,Polk,30104,34.0879,-85.06982,Aragon,Georgia,1.82
9280,Floyd,30105,34.47012,-85.15532,Armuchee,Georgia,1.78
9281,Cobb,30106,33.83476,-84.62947,Austell,Georgia,1.57
9282,Cherokee,30107,34.3352,-84.34744,Ball Ground,Georgia,1.51
9283,Carroll,30108,33.53172,-85.26242,Bowdon,Georgia,1.43
9284,Haralson,30110,33.74071,-85.137,Bremen,Georgia,1.4
9285,Haralson,30113,33.8531,-85.20967,Buchanan,Georgia,1.56
9286,Cherokee,30114,34.24433,-84.5393,Canton,Georgia,1.38
9287,Cherokee,30115,34.21296,-84.40138,Canton,Georgia,1.35
9288,Carroll,30116,33.55224,-85.01298,Carrollton,Georgia,1.45
9289,Carroll,30117,33.58113,-85.13197,Carrollton,Georgia,1.48
9290,Carroll,30118,33.57288,-85.09938,Carrollton,Georgia,1.0
9291,Bartow,30120,34.16639,-84.85597,Cartersville,Georgia,1.83
9292,Bartow,30121,34.21073,-84.77802,Cartersville,Georgia,1.56
9293,Douglas,30122,33.76329,-84.6386,Lithia Springs,Georgia,1.55
9294,Floyd,30124,34.12872,-85.35589,Cave Spring,Georgia,2.69
9295,Polk,30125,34.00067,-85.27331,Cedartown,Georgia,1.96
9296,Cobb,30126,33.81588,-84.55171,Mableton,Georgia,1.6
9297,Cobb,30127,33.87647,-84.69648,Powder Springs,Georgia,1.46
9298,Paulding,30132,33.99042,-84.85279,Dallas,Georgia,1.5
9299,Douglas,30134,33.77436,-84.78241,Douglasville,Georgia,1.37
9300,Douglas,30135,33.67285,-84.74523,Douglasville,Georgia,1.48
9301,Bartow,30137,34.11657,-84.7657,Emerson,Georgia,2.08
9302,Gordon,30139,34.43346,-84.70575,Fairmount,Georgia,1.79
9303,Paulding,30141,33.86244,-84.77521,Hiram,Georgia,1.48
9304,Pickens,30143,34.46198,-84.42385,Jasper,Georgia,1.62
9305,Cobb,30144,34.03672,-84.59174,Kennesaw,Georgia,1.47
9306,Bartow,30145,34.24177,-84.98076,Kingston,Georgia,1.82
9307,Floyd,30147,34.13751,-85.21877,Lindale,Georgia,2.01
9308,Dawson,30148,34.46009,-84.2648,Marble Hill,Georgia,1.84
9309,Floyd,30149,34.31107,-85.21691,Mount Berry,Georgia,1.73
9310,Cobb,30152,33.99435,-84.6474,Kennesaw,Georgia,1.53
9311,Polk,30153,33.96678,-85.05425,Rockmart,Georgia,1.67
9312,Paulding,30157,33.88641,-84.8731,Dallas,Georgia,1.45
9313,Floyd,30161,34.23758,-85.17319,Rome,Georgia,1.89
9314,Floyd,30165,34.30279,-85.27233,Rome,Georgia,1.85
9315,Cobb,30168,33.78354,-84.58765,Austell,Georgia,1.45
9316,Carroll,30170,33.43065,-85.16821,Roopville,Georgia,1.41
9317,Bartow,30171,34.36122,-84.73584,Rydal,Georgia,1.99
9318,Floyd,30173,34.13541,-85.14217,Silver Creek,Georgia,1.92
9319,Pickens,30175,34.54239,-84.52793,Talking Rock,Georgia,1.95
